=========================================
This for gpu 0
=========================================
937
step5631	all_loss24.412514	all_ccc=5163.000000	rate0.916889
step5695	all_loss24.666933	all_ccc=5223.000000	rate0.917120
step5759	all_loss24.973139	all_ccc=5281.000000	rate0.916999
step5823	all_loss25.066120	all_ccc=5344.000000	rate0.917740
step5887	all_loss25.215719	all_ccc=5405.000000	rate0.918125
step5951	all_loss25.578352	all_ccc=5463.000000	rate0.917997
step6015	all_loss25.850050	all_ccc=5522.000000	rate0.918038
step6079	all_loss26.137749	all_ccc=5581.000000	rate0.918079
step6143	all_loss26.436880	all_ccc=5640.000000	rate0.918118
step6207	all_loss26.807671	all_ccc=5699.000000	rate0.918157
step6271	all_loss26.839924	all_ccc=5762.000000	rate0.918833
step6335	all_loss26.908648	all_ccc=5825.000000	rate0.919495
step6399	all_loss27.159363	all_ccc=5884.000000	rate0.919519
step6463	all_loss27.317438	all_ccc=5945.000000	rate0.919851
step6527	all_loss27.489645	all_ccc=6006.000000	rate0.920178
step6591	all_loss27.766354	all_ccc=6062.000000	rate0.919739
step6655	all_loss28.186785	all_ccc=6118.000000	rate0.919309
step6719	all_loss28.346273	all_ccc=6178.000000	rate0.919482
step6783	all_loss28.643404	all_ccc=6235.000000	rate0.919210
step6847	all_loss28.839272	all_ccc=6294.000000	rate0.919235
step6911	all_loss28.956127	all_ccc=6355.000000	rate0.919549
step6975	all_loss29.031204	all_ccc=6418.000000	rate0.920143
step7039	all_loss29.124174	all_ccc=6481.000000	rate0.920727
step7103	all_loss29.187775	all_ccc=6544.000000	rate0.921301
step7167	all_loss29.255053	all_ccc=6607.000000	rate0.921864
step7231	all_loss29.391806	all_ccc=6668.000000	rate0.922141
step7295	all_loss29.500160	all_ccc=6732.000000	rate0.922824
step7359	all_loss29.553446	all_ccc=6795.000000	rate0.923359
step7423	all_loss29.618271	all_ccc=6858.000000	rate0.923885
step7487	all_loss29.888914	all_ccc=6917.000000	rate0.923868
step7551	all_loss30.064640	all_ccc=6978.000000	rate0.924116
step7615	all_loss30.161102	all_ccc=7041.000000	rate0.924622
step7679	all_loss30.240734	all_ccc=7104.000000	rate0.925120
step7743	all_loss30.316629	all_ccc=7168.000000	rate0.925739
step7807	all_loss30.530703	all_ccc=7229.000000	rate0.925964
step7871	all_loss30.961290	all_ccc=7282.000000	rate0.925168
step7935	all_loss31.282879	all_ccc=7338.000000	rate0.924764
step7999	all_loss31.407438	all_ccc=7400.000000	rate0.925116
step8063	all_loss31.554790	all_ccc=7462.000000	rate0.925462
step8127	all_loss31.765419	all_ccc=7521.000000	rate0.925434
step8191	all_loss31.861265	all_ccc=7584.000000	rate0.925894
step8255	all_loss31.947803	all_ccc=7647.000000	rate0.926348
step8319	all_loss32.161652	all_ccc=7707.000000	rate0.926433
step8383	all_loss32.344212	all_ccc=7769.000000	rate0.926757
step8447	all_loss32.551228	all_ccc=7829.000000	rate0.926838
step8511	all_loss32.642620	all_ccc=7893.000000	rate0.927388
step8575	all_loss32.776081	all_ccc=7954.000000	rate0.927580
step8639	all_loss32.831936	all_ccc=8018.000000	rate0.928117
step8703	all_loss32.862320	all_ccc=8081.000000	rate0.928530
step8767	all_loss32.874271	all_ccc=8145.000000	rate0.929052
step8831	all_loss32.891449	all_ccc=8209.000000	rate0.929566
step8895	all_loss32.934483	all_ccc=8272.000000	rate0.929961
step8959	all_loss32.954819	all_ccc=8336.000000	rate0.930461
step9023	all_loss33.290909	all_ccc=8396.000000	rate0.930511
step9087	all_loss33.592102	all_ccc=8455.000000	rate0.930450
step9151	all_loss33.640007	all_ccc=8519.000000	rate0.930937
step9215	all_loss33.704731	all_ccc=8582.000000	rate0.931308
step9279	all_loss33.774239	all_ccc=8645.000000	rate0.931674
step9343	all_loss33.854633	all_ccc=8706.000000	rate0.931821
step9407	all_loss33.881615	all_ccc=8770.000000	rate0.932284
step9471	all_loss33.995693	all_ccc=8831.000000	rate0.932425
step9535	all_loss34.106445	all_ccc=8894.000000	rate0.932774
step9599	all_loss34.297424	all_ccc=8953.000000	rate0.932701
step9663	all_loss34.604694	all_ccc=9011.000000	rate0.932526
